"grass_date","is_cb_shop","shipping_channel_id","orders","gmv"
"2022-01-05","0","100008","19.0","242.8365431788"
"2021-08-13","1","108001","295.0","1100.1601755443"
"2022-02-12","1","108004","6.0","198.2086733326"
"2022-02-20","1","108004","24.0","510.3285770793"
"2022-05-14","1","100009","6.0","1.3271594107"
"2021-11-21","1","108005","2.0","51.9345071626"
"2021-10-14","1","108004","1.0","10.9193713910"
"2021-03-16","1","100001","2079.0","11058.7021532912"
"2021-11-10","1","108002","758.0000000000001","16513.7807128299"
"2022-05-07","0","100011","3459.0","11590.3192348718"
"2022-04-17","1","108005","70.0","2210.0606126545"
"2022-01-12","0","100003","16963.999999999993","98210.4931847024"
"2022-02-19","0","100007","9747.000000000002","41126.3832759087"
"2021-08-12","0","100004","7.0","1.5520496062"
"2022-02-07","1","108004","18.0","307.9958811660"
"2022-05-01","1","100009","5.0","1.0768810983"
"2021-12-09","0","100003","15685.000000000004","87713.9167274090"
"2022-04-11","1","100001","47332.0","300813.1647363745"
"2022-04-16","1","108002","552.0","10153.0613808175"
"2021-11-08","0","100003","11665.000000000002","72483.9167853988"
"2022-02-17","0","100008","12.0","24.7691179119"
"2021-06-03","1","100001","29343.999999999985","104691.9278319472"
"2021-10-07","1","108002","562.0","8758.3307969925"
"2021-12-08","0","100007","4841.000000000001","24769.7586471149"
"2022-03-08","1","108002","639.0","12129.0411386201"
"2021-11-07","1","108002","598.0","12638.3660965530"
"2021-08-07","1","100001","36590.99999999995","172780.7567180534"
"2021-07-07","1","100001","30595.999999999996","127119.7071147644"
"2021-04-08","1","100001","9366.000000000002","45510.3222148820"
"2022-05-20","1","108002","579.0","11282.5546337500"
"2022-04-12","1","100007","179.0","1006.2667048214"
"2021-09-08","1","108001","176.0","777.6411476843"
"2022-03-18","1","108004","19.000000000000004","180.5711253950"
"2022-03-05","1","100003","49.0","67.5725579624"
"2021-10-21","0","100007","2.0","5.8824500522"
"2021-08-20","1","108002","392.99999999999994","7103.3491972747"
"2021-12-19","1","108002","494.0","10295.1820113178"
"2022-02-07","1","108001","2344.9999999999986","7987.4116420789"
"2022-02-07","0","100009","241.00000000000003","466.2941626265"
"2022-05-01","0","100008","7.0","19.3305778604"
"2021-12-31","0","100008","16.0","63.3178372024"
"2021-08-20","0","100004","40.0","156.4410662362"
"2021-12-07","1","108001","1102.0000000000002","3514.4419597902"
"2021-11-29","1","108001","2021.9999999999998","6354.0630612540"
"2022-04-25","1","108005","222.0","9358.3756405340"
"2021-08-13","0","100003","1.0","0.5030954963"
"2022-03-18","0","100009","462.0","1905.4055885638"
"2021-04-16","1","100001","11576.999999999996","54027.6318110770"
"2022-01-14","1","100001","71427.99999999999","379166.5123846593"
"2022-01-07","1","108001","1806.0000000000002","5539.5029217282"
"2021-08-15","1","100001","41750.99999999999","202136.9267969143"
"2021-11-16","1","108005","7.0","134.0471539577"
"2021-08-08","1","108001","171.0","994.0125598801"
"2022-05-21","1","100007","30.0","289.6448423653"
"2022-05-13","0","100003","22791.000000000015","137145.2253594923"
"2022-05-15","1","100001","57358.99999999994","341253.5159947020"
"2021-12-12","0","100003","50234.99999999995","174082.9570768019"
"2022-03-17","1","108005","71.0","2120.8229806313"
"2021-11-30","0","100008","9.0","54.6173581343"
"2022-04-03","1","100001","40467.99999999998","268340.6058372165"
"2022-04-09","0","100003","15236.0","100605.9487308662"
"2021-11-02","1","100001","58853.99999999994","316571.0376501707"
"2021-11-15","1","108002","754.0000000000001","17156.9647298029"
"2021-10-31","0","100003","11290.0","37565.7096075267"
"2022-03-01","1","100007","1.0","16.1564026203"
"2022-05-10","0","100003","21176.0","123612.7645067784"
"2022-05-12","1","100001","54259.99999999996","311883.4264233781"
"2021-10-26","1","108001","740.0","2529.5216154329"
"2021-12-16","0","100007","7328.999999999999","35559.7147420012"
"2021-12-27","0","100009","121.0","395.3551965191"
"2022-03-28","0","100008","21.0","63.6964945618"
"2021-11-26","1","108001","8161.000000000001","11844.2053295284"
"2021-11-26","1","108004","22.0","295.0860702944"
"2022-04-27","1","108004","9.0","169.3041516989"
"2021-10-05","1","108005","1.0","28.2120501754"
"2022-01-16","0","100003","16694.000000000004","99493.4268058653"
"2022-01-11","1","108001","2613.0000000000005","8649.6860043910"
"2022-02-15","0","100007","13018.000000000002","51761.0570911301"
"2022-02-11","1","108001","1598.9999999999998","6371.1824986217"
"2021-12-23","1","108002","306.0","5447.1560822154"
"2022-01-04","0","100008","42.0","289.7426672706"
"2021-12-15","1","108002","500.0","9182.7094454076"
"2021-11-12","1","108005","9.0","289.5118770002"
"2022-05-09","0","100007","16706.999999999996","71654.7805650839"
"2022-04-01","0","100003","19088.999999999996","129852.7667686896"
"2021-12-11","1","100001","45902.00000000002","257547.7803754662"
"2021-12-01","0","100003","12468.999999999996","59561.0550116842"
"2022-02-25","0","100008","14.0","90.2595957869"
"2021-11-27","0","100008","15.0","43.3568582715"
"2022-05-23","1","100003","169.0","1250.4740378766"
"2021-08-11","1","100001","39731.99999999999","184168.0666975858"
"2022-01-03","1","108001","4856.000000000001","10232.2733328948"
"2021-12-03","1","108001","1096.0","3283.4892867374"
"2021-12-04","0","100008","13.0","48.7080793972"
"2022-05-09","0","100003","20029.999999999993","124890.2842448076"
